_id,category,productId
n76XMc4BJubyejguy,p77aoMmzYv2nLANRr,n76XMc4BJubyejguy
PNzpY6Fm5DQ2jrwst,BACoALfJCD3wLGXW4,PNzpY6Fm5DQ2jrwst
GQiE2xFiqmNGAwTco,Yuk5EgT8xB4EjsE4Q,GQiE2xFiqmNGAwTco
nznR3Wv5PQRffRzk3,QzPrcT3s4DTM5AQgZ,nznR3Wv5PQRffRzk3
ZiCW7ZpSEdnkAJLxA,5eKarQG9dk5xDn782,ZiCW7ZpSEdnkAJLxA
a5chC7sG6EsKC7Hjw,QzPrcT3s4DTM5AQgZ,a5chC7sG6EsKC7Hjw
zQhY3DdgjMBgBmwms,qnLPXbGaR2SsrRDKc,zQhY3DdgjMBgBmwms
T9o99CsuMsFBG4jRw,tsf9okLs2in2GBHSq,T9o99CsuMsFBG4jRw
KvC9uy42YYf488Xut,FA7ndLp9HFAPHBi8W,KvC9uy42YYf488Xut
SnWo36ssDKsK866eQ,ZyRycCigWHTkN8qdh,SnWo36ssDKsK866eQ
go2T2d8EnrEqeemeg,NAdWyucM8ALJx8TNJ,go2T2d8EnrEqeemeg
qutJ9kTo4QcoRaoAG,qnLPXbGaR2SsrRDKc,qutJ9kTo4QcoRaoAG
dpmsGogZQRc2XxMsi,FA7ndLp9HFAPHBi8W,dpmsGogZQRc2XxMsi
yyPgfm5jGBSR7rAKY,3HriQhzZeArWiszXR,yyPgfm5jGBSR7rAKY
f7q9psXiuvxDneEXc,KBgBdiS2cMeJGnKA8,f7q9psXiuvxDneEXc
DrEHmfgj58y87FjqH,KBgBdiS2cMeJGnKA8,DrEHmfgj58y87FjqH
2NHQ5ztZC585ZgW9w,KBgBdiS2cMeJGnKA8,2NHQ5ztZC585ZgW9w
hcJLCSJduQFRcwXwy,qnLPXbGaR2SsrRDKc,hcJLCSJduQFRcwXwy
qTFkaN3RErRacT7Kr,jGx4huwehCiY8XLqv,qTFkaN3RErRacT7Kr
3KFKLwzGfXtoZrQqi,jGx4huwehCiY8XLqv,3KFKLwzGfXtoZrQqi
drjei5Q5PNEs24WRC,cW2Y3LmPtBimhDHyv,drjei5Q5PNEs24WRC
4FHmRYXp4XMG33rbC,uk6QiqHvMX5Ls5FTj,4FHmRYXp4XMG33rbC
nANK2iSowExEmMDDn,89cBkQJRAoEL4gxyZ,nANK2iSowExEmMDDn
TLyfRjJ3aBJkHFmjB,qnLPXbGaR2SsrRDKc,TLyfRjJ3aBJkHFmjB
mrPsw2kZA4h8YevpE,BACoALfJCD3wLGXW4,mrPsw2kZA4h8YevpE
vKQbygQL69N6zetvb,qnLPXbGaR2SsrRDKc,vKQbygQL69N6zetvb
KeTZ3WzcA6nmtywDs,jGx4huwehCiY8XLqv,KeTZ3WzcA6nmtywDs
LgPLMzw4KjAH7uCcJ,jGx4huwehCiY8XLqv,LgPLMzw4KjAH7uCcJ
XBj9uLQxNJecCquqL,Phw59o65fijTwcLbg,XBj9uLQxNJecCquqL
HFahqf3npXAgukzJD,vJBAnpNdjopTSP2TH,HFahqf3npXAgukzJD
Rs2DLTqLykHrDPJzK,vJBAnpNdjopTSP2TH,Rs2DLTqLykHrDPJzK
e3Xytzq5yFekFMttZ,vJBAnpNdjopTSP2TH,e3Xytzq5yFekFMttZ
p5Zd7df5LpAWmDBHS,vJBAnpNdjopTSP2TH,p5Zd7df5LpAWmDBHS
QmF4RyByPsCK9Bd6S,7FMDHeWKjuSTcDHWq,QmF4RyByPsCK9Bd6S
hrK7Y2mdMyMEpqsKy,N5kXtazLjiBoisoMW,hrK7Y2mdMyMEpqsKy
whrW9y336MhSPrLvv,t6FFXEPjQZLoX8GSM,whrW9y336MhSPrLvv
Xb7ArTqMgsTska4zg,ZyRycCigWHTkN8qdh,Xb7ArTqMgsTska4zg
zbaPd6Stzck2J3jFw,3WTshj6Sejqhh8AJY,zbaPd6Stzck2J3jFw
gQnbzzoSQGQ4NWbcR,DXnhPPYAxSkjd5NsM,gQnbzzoSQGQ4NWbcR
vATTD5YD9MyxkiXi9,j2aoxonwwTX5LdJis,vATTD5YD9MyxkiXi9
SXfayk6PvCqGY6JWF,4C2Fz8x37tRHDgJ7J,SXfayk6PvCqGY6JWF
rvgfMNzXsPoBin4MJ,vJBAnpNdjopTSP2TH,rvgfMNzXsPoBin4MJ
ZMJStmMgcg5ieCMAi,j2aoxonwwTX5LdJis,ZMJStmMgcg5ieCMAi
vPJfxqj7kc7BmwyYy,Phw59o65fijTwcLbg,vPJfxqj7kc7BmwyYy
QuTY9tgTBRDLACK2E,FA7ndLp9HFAPHBi8W,QuTY9tgTBRDLACK2E
Gop7fpF6y8oPamcgm,5eKarQG9dk5xDn782,Gop7fpF6y8oPamcgm
YnNWGRJNqPZcdfeuS,W7bxXfBNM7BFxDNhw,YnNWGRJNqPZcdfeuS
NBJQEE9rNnwqEdudE,5eKarQG9dk5xDn782,NBJQEE9rNnwqEdudE
vfc3ZMb5jZL6XC2Lo,5eKarQG9dk5xDn782,vfc3ZMb5jZL6XC2Lo
vCzuoGm9zLbHqbXyF,pK9KkeYjQCNNnBgZf,vCzuoGm9zLbHqbXyF
vCzuoGm9zLbHqbXyF,XtsjxrTeGF6cSALic,vCzuoGm9zLbHqbXyF
4gRfKEfL2wZb4ZRvN,Jvk3P8DnCT5D8uusM,4gRfKEfL2wZb4ZRvN
pmghBtk4SAEPvPyk3,k3iwxhC5u7MSJK3AK,pmghBtk4SAEPvPyk3
pmghBtk4SAEPvPyk3,XtsjxrTeGF6cSALic,pmghBtk4SAEPvPyk3
hKpB5Tp8qhGgHMoCC,pK9KkeYjQCNNnBgZf,hKpB5Tp8qhGgHMoCC
hKpB5Tp8qhGgHMoCC,XtsjxrTeGF6cSALic,hKpB5Tp8qhGgHMoCC
joELjDcoXwFCnuTpH,XtsjxrTeGF6cSALic,joELjDcoXwFCnuTpH
sB82TJkGKMsvvYToo,KyMabj6vBgST4zvR7,sB82TJkGKMsvvYToo
sB82TJkGKMsvvYToo,x6gEaBuQnwHgSBNY3,sB82TJkGKMsvvYToo
sB82TJkGKMsvvYToo,Kive8CqkAqMybxcbo,sB82TJkGKMsvvYToo
cGCfnnPienzFDirKW,Z9SNxs4ofkCqfdDYH,cGCfnnPienzFDirKW
BtYmzTh9MSYofBdYX,Jb2Zj4kozwCJA2m67,BtYmzTh9MSYofBdYX
Gcu8aFbNGS2GBPH9w,Jb2Zj4kozwCJA2m67,Gcu8aFbNGS2GBPH9w
3f25F9DqqJEnvy8xP,Jb2Zj4kozwCJA2m67,3f25F9DqqJEnvy8xP
upauCaDWpJTNoagHq,Jb2Zj4kozwCJA2m67,upauCaDWpJTNoagHq
Gw8p3P2ZQFE78guSh,Jb2Zj4kozwCJA2m67,Gw8p3P2ZQFE78guSh
9EmjRvbeQzZz6Phyu,Jb2Zj4kozwCJA2m67,9EmjRvbeQzZz6Phyu
