Date,Open,High,Low,Close,Adj Close,Volume
2022-02-07,728.799988,729.900024,713.349976,715.150024,705.487061,2610637
2022-02-08,719.000000,723.000000,703.000000,717.799988,708.101196,3207780
2022-02-09,722.000000,735.400024,719.049988,733.450012,723.539795,3186942
2022-02-10,736.900024,741.549988,728.049988,731.049988,721.172241,4752601
2022-02-11,727.900024,733.900024,719.450012,723.700012,713.921509,3621116
2022-02-14,714.799988,714.799988,691.000000,695.750000,686.349182,6219506
2022-02-15,699.700012,722.450012,690.000000,720.599976,710.863342,3319096
2022-02-16,724.900024,750.849976,722.099976,740.750000,730.741150,9382605
2022-02-17,741.099976,745.000000,731.349976,734.200012,724.279602,3407347
2022-02-18,729.900024,739.200012,725.500000,727.500000,717.670166,2151557
2022-02-21,722.700012,726.750000,709.549988,711.099976,701.491699,2805791
2022-02-22,698.000000,711.099976,685.000000,705.549988,696.016724,6112926
2022-02-23,711.000000,719.400024,705.000000,706.700012,697.151184,2978284
2022-02-24,682.000000,688.000000,651.950012,654.849976,646.001770,9547717
2022-02-25,674.500000,703.000000,670.250000,695.150024,685.757263,5738223
2022-02-28,690.000000,709.650024,684.500000,707.500000,697.940430,4288186
2022-03-02,702.950012,717.900024,697.599976,710.299988,700.702515,4448558
2022-03-03,718.799988,724.599976,703.000000,706.700012,697.151184,7533817
2022-03-04,699.900024,710.700012,689.049988,700.150024,690.689758,7941457
2022-03-07,690.000000,691.700012,663.549988,677.799988,668.641724,4890958
2022-03-08,679.650024,692.000000,670.599976,688.849976,679.542358,3831397
2022-03-09,697.000000,718.000000,692.700012,714.099976,704.451172,5351552
2022-03-10,727.900024,737.650024,720.599976,730.400024,720.531006,5850213
2022-03-11,729.500000,731.750000,722.299988,729.450012,719.593872,2864685
2022-03-14,725.950012,733.500000,724.000000,730.549988,720.678955,1905433
2022-03-15,733.000000,736.000000,716.250000,721.299988,711.553955,4228582
2022-03-16,726.000000,729.500000,721.000000,723.799988,714.020142,2693057
2022-03-17,730.500000,743.799988,729.549988,740.099976,730.099854,4957379
2022-03-21,741.000000,750.450012,725.400024,735.150024,725.216797,6662688
2022-03-22,735.000000,743.900024,723.049988,739.150024,729.162781,5010054
2022-03-23,747.950012,751.000000,731.799988,733.750000,723.835693,4698808
2022-03-24,733.000000,742.299988,731.000000,733.450012,723.539795,2914647
2022-03-25,737.000000,746.900024,730.049988,743.250000,733.207336,4003497
2022-03-28,747.000000,749.700012,726.549988,737.000000,727.041809,5691095
2022-03-29,741.000000,766.900024,738.049988,761.950012,751.654663,11423551
2022-03-30,768.799988,775.950012,762.099976,767.400024,757.031067,6913983
2022-03-31,767.400024,781.000000,765.500000,774.200012,763.739197,5468951
2022-04-01,774.500000,790.700012,774.500000,785.750000,775.133118,6816743
